AGED A/R REPORT SUMMARY,,,,,,Date:10/03/2024
CUST.#,NAME,A/R BALANCE,INV.AMT,PAYMENTS,DEB/CRED,FUTURES,CURRENT,1-30,31-60,61-90,OVER-90

01BA    ,BARRY'S APPLIANCE AND TV,52218.71,252898.85,200680.14, , , , , , ,52218.71,
02AD    ,AJAY DISC.APPL.AND VIDEO,38163.4,110410.31,72246.91, , , , , , ,38163.4,
03CO    ,COLONIAL TELEVISION     ,23257.16,78400.58,55143.42, , , , , , ,23257.16,
04BR    ,BRUBAKER INC.,38732.55,133847.22,95114.67, , , , , , ,38732.55,
05JO    ,APPLIANCE DRIVEN INC.,29598.51,67159.13,37560.62, , , , , , ,29598.51,
06NP    ,NEW PROVIDENCE ELECTRONI,61770.25,389893.93,328123.68, ,-805.35, , , , ,62575.6,
07BL    ,BETTER LIVING           ,48379.23,229455.96,181076.73, ,-29.84, , , , ,48409.07,
08AA    ,APPLIANCE ALLIANCE,42449.52,173274.21,130824.69, , , , , , ,42449.52,
09KF    ,KIEFFER'S APPLIANCE INC.,76011.48,921102.6,845091.12, ,-7898.61, , , , ,83910.09,
100A1   ,A-1 APPLIANCE SALES&SERV,27604.29,44942.9,17338.61, ,-498.65, , , , ,28102.94,
101MV   ,MIKE'S VIDEO TV AND APPL,56211.59,275251.83,219040.24, ,-631.05, , , , ,56842.64,
102SC   ,SCHULBERGER'S INC,31198.9,88534.3,57335.4, , , , , , ,31198.9,
103RA   ,RAY'S APPLIANCES,47095.91,304560.74,257464.83, , , , , , ,47095.91,
104YU   ,YUDIN'S INC.,59359.82,546180.29,486820.47, , , , , , ,59359.82,
105TG   ,TRIANGLE TV SRV ANS SALE,25812.54,54676.43,28863.89, ,-1038.76, , , , ,26851.3,
106RO   ,ROSENDAHL'S APPLIANCE,16226.22,85882.25,69656.03, , , , , , ,16226.22,
107MO   ,MORRISSEY TV AND APPL,42900.53,121940.38,79039.85, , , , , , ,42900.53,
108SQ   ,SQUIRES ELECTRONICS,42920.81,156372.78,113451.97, , , , , , ,42920.81,
109SL   ,SALTZER'S APPLIANCE,2957.23,2957.23, , ,-1000, , , , ,3957.23,
10MR    ,MRS G                   ,63505.59,388297.77,324792.18, , , , , , ,63505.59,
110KA   ,KASPER TV AND APPLIANCE,58629.77,191705.39,133075.62, ,-1491.24, , , , ,60121.01,
111AU   ,AUREL'S T.V. &APPLIANCES,29028.63,86876.31,57847.68, , , , , , ,29028.63,
112KR   ,KRISAY'S INC.,73920.71,215540.91,141620.2, ,-601, , , , ,74521.71,
113DS   ,DANIEL SHAFFER'S INC.,10752.65,47235.49,36482.84, , , , , , ,10752.65,
114BV   ,BILL VANDEGRIFT INC.,55391.42,198743.01,143351.59, , , , , , ,55391.42,
115DI   ,DIAMOND SUPPLY CO.,32946.8,80519.81,47573.01, , , , , , ,32946.8,
116BW   ,BROCKWAY APPLIANCE,9530.54,44046.18,34515.64, , , , , , ,9530.54,
117WH   ,ELK COUNTY WHA INC. DBA,17142.27,55862.44,38720.17, ,-520.69, , , , ,17662.96,
118AR   ,APPLIANCE REPLACEMENT,6595.79,97783.92,91188.13, , , , , , ,6595.79,
119MT   ,MARTIN APPLIANCE,89705.24,1569922.87,1480217.63, ,-6567.56, , , , ,96272.8,
11JE    ,JOHNSON'S ELECTRIC,22114.73,461224.86,439110.13, , , , , , ,22114.73,
121CA   ,CHARLOTTE APPLIANCE,147089.13,508951.95,361862.82, ,-12850.54, , , , ,159939.67,
122PC   ,DAVID'S SUPPLIES,10009.43,33025.61,23016.18, ,-5.97, , , , ,10015.4,
123BC   ,BIG CENTRIC HOME APPL,47073.48,234672.58,187599.1, , , , , , ,47073.48,
124NA   ,NATIONAL APPLIANCE WHSE,96319.67,597048.91,500729.24, , , , , , ,96319.67,
125DW   ,DELAWARE APPL DISTRIB,4170.42,33183.58,29013.16, , , , , , ,4170.42,
126HM   ,B AND H THE HOME MARKET,28705.36,76354.11,47648.75, ,-250, , , , ,28955.36,
127NF   ,N.F.LANDIS AND SON INC,54480.13,178782.74,124302.61, ,-150.47, , , , ,54630.6,
128LO   ,LONGACRE ELECTRICAL,7216.19,16434.26,9218.07, , , , , , ,7216.19,
129HH   ,H AND H FURN AND APPL,8306.05,46020.59,37714.54, , , , , , ,8306.05,
130PH   ,PETERS HOME APPLIANCE CT,17336.8,43492.06,26155.26, , , , , , ,17336.8,
131CM   ,COASTAL MAYTAG,103164.27,120303.07,17138.8, ,-59936.44, , , , ,163100.71,
132OB   ,OBERG AND LINQUIST,61897.5,429586.38,367688.88, ,-1508.58, , , , ,63406.08,
133FD   ,F AND D ENTERPRISES,14149.01,19906.34,5757.33, , , , , , ,14149.01,
134SS   ,S AND S APPLIANCE,42332.2,102513.59,60181.39, , , , , , ,42332.2,
135VA   ,AUDIO VIDEO APPL CENTER,4604.7,10173.29,14777.99, ,-13180.6, , , , ,8575.9,
136SY   ,DAVE'S TV AND APPLIANCE,13533.84,53028.21,39494.37, , , , , , ,13533.84,
137BT   ,BEITERS HOME CENTER,11707.82,273482.64,261774.82, , , , , , ,11707.82,
138PF   ,PARK FURNITURE STORE,42798.23,143998.2,101199.97, ,-455.44, , , , ,43253.67,
139HB   ,HOMETOWN BRAND CENTER,41255.31,166923.11,125667.8, , , , , , ,41255.31,
13AG    ,APPLIANCE GALLERY       ,64894.92,255902.74,191007.82, , , , , , ,64894.92,
140MU   ,MUNDEL'S APPLIANCE,8227.66,8874.69,395.4,251.63, , , , , ,8227.66,
141GN   ,GOCHNAUER HOME APPL. CT,41051.85,97013.99,55962.14, , , , , , ,41051.85,
142DY   ,DALYS APPLIANCE,50687.82,210245.48,159557.66, , , , , , ,50687.82,
143FI   ,FINCH SERVICES INC.,70.37,70.37, , , , , , , ,70.37,
144PS   ,PARKERS APPLIANCE,3339.45,76302.02,72962.57, , , , , , ,3339.45,
145AL   ,ALL MAKE APPLIANCE SALES,41888.12,265452.99,223564.87, ,-3767.25, , , , ,45655.37,
146DA   ,DAYS HOME FURN AND APPL,24664.5,80128.15,55463.65, , , , , , ,24664.5,
147HI   ,HIGHWAY APPLIANCE CO.,17397.81,39794.37,22396.56, , , , , , ,17397.81,
148FH   ,FRIEDHABER,12307.18,125327.77,113020.59, , , , , , ,12307.18,
149LA   ,LESHER'S APPLIANCE INC.,25288.61,72350.95,47062.34, , , , , , ,25288.61,
14CT    ,ADAM'S TV AND APPL. INC,29856.12,91988.63,62132.51, ,-1246, , , , ,31102.12,
150HW   ,HAWKINS AND SONS INC.,64521.64,213267.79,148746.15, , , , , , ,64521.64,
151RZ   ,ROZMAN BROTHERS INC.,32406.47,107149.66,74743.19, , , , , , ,32406.47,
152TA   ,TEATES APPLIANCE INC,41171.31,170332.07,129160.76, , , , , , ,41171.31,
153PP   ,PERLA'S APPLIANCE PLUS,48789.65,138976.38,90186.73, , , , , , ,48789.65,
154RP   ,RALPH'S APPLIANCE ,20868.32,38888.68,18020.36, ,-2876.77, , , , ,23745.09,
155AK   ,ALASKY'S APPLIANCE,40732.69,84229.79,43497.1, , , , , , ,40732.69,
156HR   ,HERALDS APPL & ELEC,30986.26,102466.01,71479.75, , , , , , ,30986.26,
157EC   ,ECKLEY TV & APPLIANCE ,34991.11,92776.56,57785.45, ,-1079.54, , , , ,36070.65,
159MD   ,THE APPLIANCE CONNECTION,12128.93,69422.81,57293.88, , , , , , ,12128.93,
15MN    ,MAINIERO'S INC,42840.23,197260,154419.77, ,-781.39, , , , ,43621.62,
160HV   ,HARTVILLE HARDWARE,48139.79,321680.85,273541.06, , , , , , ,48139.79,
